"","serie","x","y","z","floor","wifiumts_rssi64ae0c562ff0","wifiumts_rssi64ae0c861fb0","wifiumts_rssi64ae0c867200","wifiumts_rssi64ae0c86a230","wifiumts_rssi64ae0c86a390","wifiumts_rssi64ae0c86a550","wifiumts_rssi64ae0c86d480","wifiumts_rssi64ae0c86d880","wifiumts_rssi64ae0c86db10","wifiumts_rssi64ae0c86dd50","wifiumts_rssi64ae0c86de30","wifiumts_rssi64ae0c86df40","wifiumts_rssi64ae0c86e090","wifiumts_rssi64ae0c86e110","wifiumts_rssi64ae0c86e4f0","wifiumts_rssi64ae0c86ef40","wifiumts_rssi64ae0c86fd30","wifiumts_rssi64ae0c8718b0","wifiumts_rssi64ae0c8739d0","wifiumts_rssi64ae0c875230","wifiumts_rssi64ae0c875ca0","wifiumts_rssi64ae0c876760","wifiumts_rssi64ae0c877300","wifiumts_rssi64ae0c87bea0","wifiumts_rssi64ae0c87cfb0","wifiumts_rssi64ae0c87d430","wifiumts_rssi64ae0c907830","wifiumts_rssi64ae0c907890","wifiumts_rssi64ae0c907ba0","wifiumts_rssi64ae0c907dc0","wifiumts_rssi64ae0c907f00","wifiumts_rssi64ae0c907f70","wifiumts_rssi64ae0c908140","wifiumts_rssi64ae0c915320","wifiumts_rssi64ae0c916890","wifiumts_rssi64ae0cbee920","wifiumts_rssi64d9896be440","wifiumts_rssi64d989c5a120","wifiumts_rssib8621f16db70","wifiumts_rssib8621f171a50","wifiumts_rssib8621f1735d0","wifiumts_rssib8621f1ceef0","wifiumts_rssib8621f1cef00","wifiumts_rssib8621f1cf220","wifiumts_rssib8621f1cff00","wifiumts_rssib8621f1d0160"
"1",3,0.75,66,13.99,4,NA,NA,-70,NA,NA,NA,NA,-92,NA,NA,NA,NA,NA,NA,NA,NA,NA,-84,NA,NA,NA,NA,-89,NA,NA,-84,NA,-86,NA,NA,NA,-92,NA,NA,NA,NA,NA,NA,NA,-87,NA,NA,NA,NA,NA,NA
"2",3,0.75,66,13.99,4,NA,NA,-70,NA,NA,NA,NA,-92,NA,NA,NA,NA,NA,NA,NA,NA,NA,-84,NA,NA,NA,NA,-89,NA,NA,-85,NA,-82,NA,NA,NA,-92,NA,NA,NA,NA,NA,NA,NA,-87,NA,NA,NA,NA,NA,NA
"3",3,0.75,66,13.99,4,NA,NA,-70,NA,NA,NA,NA,-92,NA,NA,NA,NA,NA,NA,NA,NA,NA,-84,NA,NA,NA,NA,-89,NA,NA,-85,NA,-85,NA,NA,NA,-92,NA,NA,NA,NA,NA,NA,NA,-87,NA,NA,NA,NA,NA,NA
"4",3,0.75,66,13.99,4,NA,NA,-69,NA,NA,NA,NA,-92,NA,NA,NA,NA,NA,NA,NA,NA,NA,-84,NA,NA,NA,NA,-89,NA,NA,-85,NA,-85,NA,NA,NA,-92,NA,NA,NA,NA,NA,NA,NA,-87,NA,NA,NA,NA,NA,NA
"5",3,0.75,66,13.99,4,NA,NA,-74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-80,NA,NA,NA,NA,-89,NA,NA,-85,NA,-85,NA,NA,NA,-92,NA,NA,NA,NA,NA,NA,NA,-87,NA,NA,NA,NA,NA,NA
"6",3,0.75,66,13.99,4,NA,NA,-70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79,NA,NA,NA,NA,-88,NA,NA,-81,NA,-84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88,NA,NA,NA,NA,NA,NA
"7",3,0.75,66,13.99,4,NA,NA,-69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79,NA,NA,NA,NA,-88,NA,NA,-83,NA,-84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88,NA,NA,NA,NA,NA,NA
"8",3,0.75,66,13.99,4,NA,NA,-69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-81,NA,NA,NA,NA,-88,NA,NA,-84,NA,-84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88,NA,NA,NA,NA,NA,NA
"9",3,0.75,66,13.99,4,NA,NA,-69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-80,NA,NA,NA,NA,-88,NA,NA,-84,NA,-83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88,NA,NA,NA,NA,NA,NA
"10",3,0.75,66,13.99,4,NA,NA,-69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-80,NA,NA,NA,NA,-88,NA,NA,-84,NA,-85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88,NA,NA,NA,NA,NA,NA
"11",3,0.75,66,13.99,4,NA,NA,-69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-84,NA,NA,NA,NA,-88,NA,NA,-84,NA,-85,NA,NA,NA,-90,NA,NA,NA,NA,NA,NA,NA,-88,NA,NA,NA,NA,NA,NA
"12",3,0.75,66,13.99,4,NA,NA,-72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-83,NA,NA,NA,NA,NA,NA,NA,-88,NA,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-91,NA,NA,NA,NA,NA,NA
"13",3,0.75,66,13.99,4,NA,NA,-72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-83,NA,NA,NA,NA,-89,NA,NA,-88,NA,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-91,NA,NA,NA,NA,NA,NA
"14",3,0.75,66,13.99,4,NA,NA,-72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-83,NA,NA,NA,NA,-92,NA,NA,-89,NA,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-91,NA,NA,NA,NA,NA,NA
"15",3,0.75,66,13.99,4,NA,NA,-72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-83,NA,NA,NA,NA,-92,NA,NA,-89,NA,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-91,NA,NA,NA,NA,NA,NA
"16",3,0.75,66,13.99,4,NA,NA,-72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-83,NA,NA,NA,NA,-88,NA,NA,-88,NA,-87,NA,NA,NA,-93,NA,NA,NA,NA,NA,NA,NA,-91,NA,NA,NA,NA,NA,NA
"17",3,0.75,66,13.99,4,NA,NA,-71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-82,NA,NA,NA,NA,-88,NA,NA,-88,NA,-90,NA,NA,NA,-93,NA,NA,NA,NA,NA,NA,NA,-91,NA,NA,NA,NA,NA,NA
"18",3,0.75,66,13.99,4,NA,NA,-69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-81,NA,NA,NA,NA,-87,NA,NA,-88,NA,-86,NA,NA,NA,-91,NA,NA,NA,NA,NA,NA,NA,-91,NA,NA,NA,NA,NA,NA
"19",3,0.75,66,13.99,4,NA,NA,-69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-81,NA,NA,NA,NA,-87,NA,NA,-88,NA,-86,NA,NA,NA,-91,NA,NA,NA,NA,NA,NA,NA,-91,NA,NA,NA,NA,NA,NA
