"x","y","floor"
-1.5,67.5,0
-1.5,66,0
-1.5,64.5,0
-1.5,63,0
-1.5,61.5,0
-1.5,60,0
-1.5,58.5,0
-1.5,57,0
-1.5,55.5,0
-1.5,54,0
-1.5,52.5,0
-0.75,68.25,0
-0.75,51.75,0
-0.75,42.75,0
-0.75,41.25,0
-0.75,39.75,0
-0.75,38.25,0
-0.75,36.75,0
-0.75,35.25,0
-0.75,33.75,0
-0.75,32.25,0
-0.75,30.75,0
-0.75,29.25,0
-0.75,27.75,0
-0.75,26.25,0
-0.75,24.75,0
-0.75,21.75,0
-0.75,20.25,0
-0.75,18.75,0
-0.75,17.25,0
-0.75,15.75,0
-0.75,14.25,0
-0.75,12.75,0
-0.75,11.25,0
-0.75,9.75,0
-0.75,8.25,0
-0.75,6.75,0
-0.75,5.25,0
-0.75,3.75,0
-0.75,2.25,0
-0.75,0.75,0
-0.75,-0.75,0
0.75,68.25,0
0.75,51.75,0
0.75,42.75,0
0.75,-0.75,0
2.25,68.25,0
2.25,51.75,0
2.25,42.75,0
2.25,-0.75,0
3,0,0
3.75,68.25,0
3.75,51.75,0
3.75,42.75,0
3.75,0.75,0
5.25,68.25,0
5.25,66,0
5.25,64.5,0
5.25,51.75,0
5.25,42.75,0
5.25,0.75,0
6.75,68.25,0
6.75,64.5,0
6.75,51.75,0
6.75,42.75,0
6.75,0.75,0
7.5,23.25,0
7.5,21.75,0
7.5,20.25,0
7.5,18.75,0
7.5,17.25,0
7.5,15.75,0
7.5,14.25,0
7.5,12.75,0
7.5,11.25,0
7.5,1.5,0
8.25,68.25,0
8.25,64.5,0
8.25,63,0
8.25,61.5,0
8.25,60,0
8.25,55.5,0
8.25,54,0
8.25,52.5,0
8.25,51.75,0
8.25,42.75,0
8.25,18,0
8.25,2.25,0
9.75,68.25,0
9.75,63,0
9.75,61.5,0
9.75,58.5,0
9.75,57,0
9.75,55.5,0
9.75,54,0
9.75,52.5,0
9.75,51.75,0
9.75,42.75,0
