BSSID;Location;x;y;z;floor;SSID;Channel;Model;Power;Antenna;Antenna gain for 2.4GHz;Antenna gain for 5GHz;Max RSSI for AP;POI for max RSSI
64-ae-0c-90-7f-00;Dining room;4.2;34.6;2.4;0;MiNIa;1;CISCO AIR-LAP1142N-E-K9 ;20dBm;Integrated horizontal beamwidth 360°;4dBi;3dBi;-64;26609
64-ae-0c-90-78-30;Faculty Council room;33.6;28.4;2.7;0;MiNIa;1;CISCO AIR-LAP1142N-E-K9 ;20dBm;Integrated horizontal beamwidth 360°;4dBi;3dBi;-45;35402
64-ae-0c-86-a5-60;Archipelago of Mathematics;7.8;56.2;1.9;0;MiNIa;1;CISCO AIR-LAP1142N-E-K9 ;20dBm;Integrated horizontal beamwidth 360°;4dBi;3dBi;-90;27680
64-ae-0c-87-5c-a0;Corridor;33.4;23.0;2.7;0;MiNIa;1;CISCO AIR-LAP1142N-E-K9 ;20dBm;Integrated horizontal beamwidth 360°;4dBi;3dBi;-45;41087
64-ae-0c-86-e1-10;Corridor;6.532903226;19.9;2.2;0;MiNIa;1;CISCO AIR-LAP1142N-E-K9 ;20dBm;Integrated horizontal beamwidth 360°;4dBi;3dBi;-45;9001
64-ae-0c-86-a2-30;Corridor;28.0;16.5;2.6;0;MiNIa;1;CISCO AIR-LAP1142N-E-K9 ;20dBm;Integrated horizontal beamwidth 360°;4dBi;3dBi;-45;27409
64-ae-0c-90-81-40;Hall;21.7;34.6;2.7;0;MiNIa;1;CISCO AIR-LAP1142N-E-K9 ;20dBm;Integrated horizontal beamwidth 360°;4dBi;3dBi;-43;22822
64-ae-0c-87-67-60;Room 17;6.532903226;9.0;2.2;0;MiNIa;1;CISCO AIR-LAP1142N-E-K9 ;20dBm;Integrated horizontal beamwidth 360°;4dBi;3dBi;-50;9860
64-ae-0c-86-1f-b0;Corridor;14.8;14.08;2.6;1;MiNIa;1;CISCO AIR-LAP1142N-E-K9 ;20dBm;Integrated horizontal beamwidth 360°;4dBi;3dBi;-45;109868
64-ae-0c-86-fd-30;Room 101;11.9;35.3;3.1;1;MiNIa;1;CISCO AIR-LAP1142N-E-K9 ;20dBm;Integrated horizontal beamwidth 360°;4dBi;3dBi;-45;101428
64-ae-0c-87-52-30;Room 102;12.4;26.6;3.0;1;MiNIa;1;CISCO AIR-LAP1142N-E-K9 ;20dBm;Integrated horizontal beamwidth 360°;4dBi;3dBi;-45;101303
64-d9-89-6b-e4-40;Room 103;12.4;18.2;3.1;1;MiNIa;1;CISCO AIR-LAP1142N-E-K9 ;20dBm;Integrated horizontal beamwidth 360°;4dBi;3dBi;-45;103143
64-ae-0c-86-a3-90;Room 105A;8.6;11.2;2.8;1;MiNIa;1;CISCO AIR-LAP1142N-E-K9 ;20dBm;Integrated horizontal beamwidth 360°;4dBi;3dBi;-45;111724
64-ae-0c-be-e9-20;Room 201;14.2;40.5;2.8;2;MiNIa;1;CISCO AIR-LAP1142N-E-K9 ;20dBm;Integrated horizontal beamwidth 360°;4dBi;3dBi;-37;218941
64-ae-0c-87-cf-b0;Room 202;14.1;46.3;2.8;2;MiNIa;1;CISCO AIR-LAP1142N-E-K9 ;20dBm;Integrated horizontal beamwidth 360°;4dBi;3dBi;-37;217109
